ProjectID,Supplier,Year,Avg_Invoice_Amount,Total_Invoice_Count
Tesoro_2014,TESORO PANAMA COMPANY SA,2012,6901626.54,69
Tesoro_2014,"OCCIDENTAL ENERGY MARKETING, INC.",2012,6688382.61,167
Tesoro_2014,GUNVOR SA,2012,6625973.18,109
ChevronPhillips_2012,ONEOK NGL MARKETING LP,2010,6505837.15,80
Tesoro_2014,INTERNAL REVENUE SERVICE,2012,6479853.54,230
Anadarko_2014,WORLD FUEL SERVICES INC,2012,6425463.65,76
ETP_2017,PRECISION PIPELINE LLC,2016,6417621.22,167
ChevronPhillips_2012,TARGA LIQUIDS MARKETING & TRADE,2008,6410992.01,187
Anadarko_2014,SPECIALISED VESSEL SERVICES LTD,2013,6147434.61,55
Anadarko_2018,BARCLAYCARD COMMERCIAL,2017,6102769.76,73
NobleEnergy_2018,CITIBANK NA,2017,6100926.74,97
Anadarko_2018,SCHLUMBERGUER SURENCO S.A,2017,6067814.2,86
ETP_2016,S&B HOLDINGS LTD,2015,5947630.19,82
NobleEnergy_2018,JP MORGAN CHASE BANK NA,2017,5919113.01,55
Tesoro_2014,"OCCIDENTAL ENERGY MARKETING, INC.",2013,5733804.63,235
Tesoro_2014,"OCCIDENTAL ENERGY MARKETING, INC.",2011,5660551.06,53
ChevronPhillips_2012,TARGA LIQUIDS MARKETING & TRADE,2011,5641000.15,146
Anadarko_2014,TIDEWATER MARINE LLC,2012,5480445.18,213
ChevronPhillips_2012,VALERO CAPITAL CORPORATION,2011,5407013.31,69
Anadarko_2014,DRIL-QUIP INC,2012,5332001.06,101
Tesoro_2014,CHEVRON PRODUCTS COMPANY,2013,5188677.39,628
ChevronPhillips_2012,TARGA LIQUIDS MARKETING & TRADE,2010,5139229.17,105
Anadarko_2014,TECHNIP USA INC,2013,5103868.08,105
Anadarko_2018,LATHAM & WATKINS LLP,2017,5101723.54,51
Anadarko_2014,RED SEA HOUSING SERVICES COMPANY FZ,2013,5068846.03,54
NobleEnergy_2018,CNX GAS CORPORATION,2015,5055627.81,83
Anadarko_2014,"FUGRO SURVEY MAURITIUS, LIMITED",2013,4901562.16,92
Anadarko_2014,KOSMOS ENERGY GHANA HC,2011,4895971.42,82
Tesoro_2014,Shell Trading (US) Company,2013,4808590.64,323
ETP_2017,S&B HOLDINGS LTD,2016,4771663.67,68
Anadarko_2014,TIDEWATER MARINE LLC,2014,4771428.6,88
ChevronPhillips_2012,DCP NGL SERVICES LLC,2009,4694990.88,186
ChevronPhillips_2012,ONEOK NGL MARKETING LP,2008,4609864.63,73
Anadarko_2014,TIANJIN STATE TAX BUREAU,2013,4596721.41,73
Tesoro_2014,INTERNAL REVENUE SERVICE,2011,4556440.27,58
ETP_2017,MICHELS HOLDINGS INC,2016,4522478.76,110
ETP_2017,CREDIT SUISSE USA INC,2016,4481796.91,53
NobleEnergy_2018,JP MORGAN CHASE  BANK,2015,4465491.94,71
Anadarko_2014,STATE OF ALASKA,2011,4422866.64,63
Anadarko_2014,TIDEWATER MARINE LLC,2011,4263819.15,118
Anadarko_2014,TULLOW OIL,2011,4132470.88,51
Anadarko_2014,KUCHLER POLK SCHELL WEINER & RICHES,2012,4003607.94,78
Tesoro_2014,Shell Trading (US) Company,2011,3931820.34,67
Tesoro_2014,Shell Trading (US) Company,2012,3855036.06,307
Tesoro_2014,TSO - REFINING & MKTING SUPPLY (090,2012,3824845.17,4212
ETP_2017,ENERGY TRANSFER PARTNERS LP,2016,3803938.01,1105
Anadarko_2014,TECHNIP USA INC,2012,3799932.71,91
Tesoro_2014,VITOL INC,2012,3797014.29,189
Anadarko_2014,KING & SPALDING,2013,3702142.56,56
Anadarko_2014,BOLLINGER SHIPYARDS INC,2012,3638020.62,84
Williams_2017,AUTOMATIC DATA PROCESSING INC,2016,3562149.02,92
NobleEnergy_2018,"NOBLE ENERGY, INC",2017,3495798.83,100
Tesoro_2014,CHEVRON PIPE LINE COMPANY,2013,3464993.93,71
Williams_2017,AUTOMATIC DATA PROCESSING INC,2015,3440673.42,80
Anadarko_2014,DOLPHIN DRILLING LTD MOZAMBIQUE,2011,3414870.13,88
Anadarko_2018,HALLIBURTON LATIN AMERICA SRL,2017,3400234.57,108
Anadarko_2014,SCHLUMBERGER SEACO INC,2012,3384035.54,636
Anadarko_2014,"GROEN OFFHSORE, GUARD, & SUPPORT",2011,3376481.6,76
Anadarko_2014,KING & SPALDING,2012,3313859.09,55
Anadarko_2014,DRIL-QUIP INC,2013,3140070.78,101
Anadarko_2018,WELLS FARGO BANK NA,2017,3129190.79,158
Anadarko_2014,KAS NEGARA,2011,3108089.96,125
Anadarko_2014,SCHLUMBERGER SEACO INC,2011,3089680.7,207
Anadarko_2014,SOLSTAD OFFSHORE ASIA PACIFIC LTD,2013,3054989.89,89
ETP_2016,ENERGY TRANSFER CRUDE,2015,2987176.58,76
Tesoro_2014,VITOL INC,2013,2940679.43,267
Tesoro_2014,IPC (USA) INC,2013,2911279.55,70
Anadarko_2014,CHESAPEAKE OPERATING INC,2013,2877113.15,64
Anadarko_2014,HALLIBURTON INTERNATIONAL INC- MOZA,2014,2797793.22,326
Anadarko_2014,TIANJIN STATE TAX BUREAU,2014,2751266.32,65
Anadarko_2014,SOLENTA AVIATION PTY LTD,2014,2706160.91,102
ETP_2016,SHEEHAN PIPE LINE CONST CO,2015,2701761.3,58
ChevronPhillips_2012,CHEVRON PHILLIPS CHEMICAL CO LP,2008,2653856.76,144
Tesoro_2014,IPC (USA) INC,2012,2652153.97,106
Tesoro_2014,VITOL INC,2011,2645625.76,101
NobleEnergy_2018,ATWOOD OCEANICS GLOBAL LTD,2015,2616202.18,79
Tesoro_2014,GLENCORE LTD,2012,2583667.32,67
Anadarko_2014,SOLENTA AVIATION PTY LTD,2012,2580681.0,128
Williams_2017,UTICA EAST OHIO MIDSTREAM LLC,2014,2574598.82,85
ChevronPhillips_2012,CONOCOPHILLIPS COMPANY,2011,2559471.63,569
Tesoro_2014,BP PRODUCTS NORTH AMERICA INC,2013,2524780.81,83
Anadarko_2014,KENYA MARINE CONTRACTORS (EPZ) LTD,2013,2517838.39,163
Anadarko_2014,TRANSOCEAN OFFSHORE DEEPWATER DRILL,2012,2513933.49,55
Anadarko_2014,BANK OF MONTREAL,2011,2488787.84,126
Anadarko_2014,TRANSOCEAN OFFSHORE DEEPWATER DRILL,2013,2476625.93,75
Anadarko_2014,"GROEN OFFHSORE, GUARD, & SUPPORT",2012,2448131.74,85
Tesoro_2014,BANK OF AMERICA,2012,2447742.08,58
Tesoro_2014,MORGAN STANLEY CAPITAL GROUP INC,2012,2427797.6,135
Anadarko_2018,THE BANK OF TOKYO-MITSUBISHI UFJ,2017,2420491.8,122
Anadarko_2014,SCHLUMBERGER SEACO INC,2014,2405910.65,323
ChevronPhillips_2012,ONEOK NGL MARKETING LP,2009,2405650.8,113
Tesoro_2014,MORGAN STANLEY CAPITAL GROUP INC,2013,2386070.8,186
MarathonOil_2013,PERFORMANCE DRILLING FOR OIL SERVIC LIMITED,2012,2377628.86,54
ChevronPhillips_2012,CHEVRON PHILLIPS CHEMICAL CO LP,2011,2349617.2,174
Anadarko_2014,KENYA MARINE CONTRACTORS (EPZ) LTD,2011,2345709.61,67
Anadarko_2014,INTECSEA INC,2013,2321931.75,55
Anadarko_2014,BANK OF MONTREAL,2012,2315643.74,64
Williams_2017,CERIDIAN CORP,2014,2245683.5,56
Anadarko_2014,BOLLORE AFRICA LOGISTICS MOCAMBIQUE,2013,2244195.16,337
ChevronPhillips_2012,CONOCOPHILLIPS,2010,2217302.16,359
Williams_2017,JACKALOPE GAS GATHERING SERVICES,2014,2202068.78,51
Anadarko_2014,COMPTROLLER OF PUBLIC ACCOUNTS,2014,2200759.14,92
ETP_2016,BORUSAN MANNESMANN BORU SANAYI,2015,2193057.51,59
ChevronPhillips_2012,CHEVRON PHILLIPS CHEMICAL CO LP,2009,2169559.29,128
Anadarko_2014,SDV (USA) INC,2011,2169425.87,57
Williams_2017,ANADARKO PETROLEUM CORP,2014,2165446.68,62
ETP_2017,BNP PARIBAS PRIME BROKERAGE INC,2016,2163148.72,257
Anadarko_2014,BOLLORE AFRICA LOGISTICS,2011,2130105.56,457
Anadarko_2014,KAS NEGARA,2012,2113031.41,108
Anadarko_2014,SOLENTA AVIATION PTY LTD,2013,2104989.98,164
ChevronPhillips_2012,FIDELITY BANK,2009,2103480.45,76
Anadarko_2018,BRAM USA,2017,2096934.8,60
Anadarko_2014,ADP INC,2014,2082747.46,140
ChevronPhillips_2012,CONOCOPHILLIPS,2008,2080264.51,402
Tesoro_2014,BP WEST COAST PRODUCTS LLC,2011,2048703.98,62
Anadarko_2014,IMPACTO,2014,2018228.84,57
Williams_2017,HENKELS & MCCOY INC,2017,2014179.45,55
Tesoro_2014,BP AMERICA PRODUCTION COMPANY,2012,1980161.49,53
Anadarko_2014,TRANSOCEAN OFFSHORE DEEPWATER DRILL,2011,1972985.25,71
Anadarko_2014,"AFRICAN PETROLEUM, LDA",2014,1965128.31,53
Tesoro_2014,IDEMITSU APOLLO CORP,2013,1947447.61,181
Anadarko_2014,TRANSOCEAN OFFSHORE DEEPWATER DRILL,2014,1946757.94,60
Anadarko_2014,OFFICE OF NATURAL RESOURCES REVENUE,2011,1944867.35,220
Anadarko_2014,ENSCO OFFSHORE COMPANY,2014,1936443.65,159
ChevronPhillips_2012,FIDELITY BANK,2010,1934496.17,76
Anadarko_2018,"SAL & CALDEIRA - IMOBILIARIA, LDA",2017,1925597.49,74
Anadarko_2014,SDV (USA) INC,2012,1923472.28,133
Anadarko_2018,"SOLENTA AVIATION MOZAMBIQUE,S.A",2017,1915990.28,136
Anadarko_2018,BRUNEL INTERNATIONAL UK LTD,2017,1911514.19,200
Anadarko_2014,OFFICE OF NATURAL RESOURCES REVENUE,2014,1903604.68,155
Williams_2017,BP ENERGY COMPANY,2017,1890250.82,61
Anadarko_2014,REMOTE SITE SOLUTIONS LTD,2012,1881580.72,57
Anadarko_2014,ROOS SOCIAL RISK SOLUTIONS LIMITED,2013,1877917.13,126
ChevronPhillips_2012,CHEVRON PHILLIPS CHEMICAL CO LP,2010,1876745.28,239
Tesoro_2014,COOK INLET ENERGY LLC,2013,1863327.5,65
Tesoro_2014,IDEMITSU APOLLO CORP,2012,1863281.42,166
ChevronPhillips_2012,FIDELITY BANK,2011,1861861.72,81
Anadarko_2014,ROOS SOCIAL RISK SOLUTIONS LIMITED,2014,1852331.85,85
ChevronPhillips_2012,TARGA LIQUIDS MARKETING & TRADE,2009,1838451.11,366
Sunoco_2017,MCLANE CO INC,2016,1821016.1,201
Anadarko_2014,HALLIBURTON INTERNATIONAL INC- MOZA,2012,1817952.26,517
ChevronPhillips_2012,FIDELITY BANK,2008,1794628.15,58
Anadarko_2014,ADP INC,2012,1777650.51,202
Williams_2017,* SHEEHAN PIPE LINE CONSTRUCTION CO,2015,1775077.72,52
ChevronPhillips_2012,CONOCOPHILLIPS COMPANY,2008,1755279.85,200
Anadarko_2018,ADP INC,2017,1755181.19,189
Anadarko_2014,ADP INC,2013,1753673.36,202
Anadarko_2014,HALLIBURTON INTERNATIONAL INC- MOZA,2013,1744718.54,457
Tesoro_2014,TSO - REFINING & MKTING SUPPLY (090,2011,1732355.94,4134
Anadarko_2018,IFS INTERNATIONAL FACILITIES,2017,1729623.25,153
ETP_2017,MATRIX SERVICE INC,2016,1724012.69,152
Anadarko_2014,HALLIBURTON INTERNATIONAL INC,2011,1704807.42,177
Anadarko_2014,SOLENTA AVIATION PTY LTD,2011,1694187.56,97
Anadarko_2018,KING & SPALDING,2017,1691468.51,103
ChevronPhillips_2012,BP PRODUCTS NORTH AMERICA INC,2011,1665006.49,85
Anadarko_2014,KENYA MARINE CONTRACTORS (EPZ) LTD,2014,1652241.82,53
Anadarko_2014,PETROPHYSICAL APPLICATIONS INTL INC,2011,1636458.53,60
Anadarko_2014,MINISTRY OF FINANCE,2014,1626031.36,118
NobleEnergy_2018,BP AMERICA PRODUCTION CO,2015,1608702.0,55
Anadarko_2018,CONTRACTS CONSULTANCY LIMITED,2017,1598595.49,100
NobleEnergy_2018,NOBLE ENERGY SERVICES INC,2017,1593885.17,154
Anadarko_2014,UNIVERSAL PRESSURE PUMPING INC,2012,1592505.96,94
NobleEnergy_2018,ATWOOD OCEANICS GLOBAL LTD,2016,1584493.73,103
Tesoro_2014,TESORO COMPANIES INC (0100),2012,1579743.58,55
Anadarko_2014,DRIL-QUIP EUROPE LTD,2012,1577185.88,82
Anadarko_2014,OFFICE OF NATURAL RESOURCES REVENUE,2012,1566986.54,248
Anadarko_2014,COMPTROLLER OF PUBLIC ACCOUNTS,2013,1565184.19,144
Anadarko_2014,NOBLE LEASING III (SWITZERLAND)GMBH,2014,1562926.22,62
Anadarko_2014,UNIVERSAL PRESSURE PUMPING INC,2011,1561894.07,99
Anadarko_2018,ORION PROJECT SERVICES LLC,2017,1561022.87,201
Tesoro_2014,VALERO MARKETING AND SUPPLY CO.,2012,1559354.8,599
Anadarko_2018,"ES_CONTACT CENTER MOÇAMBIQUE, LDA",2017,1551667.21,149
Anadarko_2018,DIAMOND OFFSHORE FINANCE CO,2017,1548534.86,238
Anadarko_2014,FIDELITY INVESTMENTS,2014,1542485.12,78
ETP_2016,EVRAZ INC NA CANADA,2015,1539201.57,125
Anadarko_2014,"MUSTANG ENGINEERING, LP",2014,1523326.48,66
Anadarko_2014,CONTRACTS CONSULTANCY LIMITED,2013,1498561.83,264
Anadarko_2014,AVA TUNISIE,2013,1491040.94,54
Williams_2017,HENKELS & MCCOY INC,2015,1481656.38,116
ETP_2016,JP MORGAN CHASE BANK NA,2015,1457773.05,54
Tesoro_2014,PHILLIPS 66 COMPANY,2013,1446893.7,606
Anadarko_2018,ENTERPRISE PRODUCTS OPERATING LLC,2017,1446071.81,79
Anadarko_2018,OFFICE OF NATURAL RESOURCES REVENUE,2017,1442817.62,169
ETP_2017,VITOL INC,2016,1429622.72,104
MarathonOil_2013,PERFORMANCE DRILLING FOR OIL SERVIC LIMITED,2013,1416825.38,58
Anadarko_2018,BARCLAYS BANK PLC,2017,1410251.16,125
Anadarko_2014,CREDIT AGRICOLE SECURITIES USA IN,2011,1402871.1,124
Anadarko_2014,OFFICE OF NATURAL RESOURCES REVENUE,2013,1397114.81,333
NobleEnergy_2018,NOBLE ENERGY INC/PAYROLL ACCT,2015,1391768.18,180
Tesoro_2014,ENTERPRISE CRUDE OIL LLC,2013,1383541.41,71
Anadarko_2014,FORTIORI,2013,1375234.6,75
Williams_2017,S CON INC,2014,1365410.13,52
MarathonOil_2013,FTS INTERNATIONAL INC DBA FTS INTERNATIONAL SERVICES LLC,2012,1362715.88,54
Tesoro_2014,VALERO MARKETING AND SUPPLY CO.,2011,1353558.69,106
ChevronPhillips_2012,CONOCOPHILLIPS,2009,1353293.07,404
Tesoro_2014,WATSON COGENERATION CO,2013,1351055.79,51
Tesoro_2014,NORTH DAKOTA STATE TAX COMMISSION,2013,1337141.02,83
Sunoco_2017,Houston Refining,2016,1326029.72,54
Anadarko_2018,ORION ENGINEERING SERVICES LTD,2017,1325341.03,936
Anadarko_2014,CONOCOPHILLIPS COMPANY,2011,1321801.26,94
Anadarko_2014,ENSCO OFFSHORE COMPANY,2013,1302902.29,259
Tesoro_2014,ENTERPRISE CRUDE OIL LLC,2012,1295879.31,90
Anadarko_2014,SCHLUMBERGER SEACO INC,2013,1282102.99,502
Anadarko_2014,ADP INC,2011,1276185.74,206
Anadarko_2014,BRUNEL INTERNATIONAL UK LTD,2011,1269945.78,135
Anadarko_2014,REMOTE SITE SOLUTIONS,2011,1266021.17,59
Anadarko_2014,MENTOR INTERNATIONAL MANAGEMENT CON,2011,1264638.15,128
Anadarko_2014,SDV (USA) INC,2014,1264293.8,84
Anadarko_2014,MENTOR INTERNATIONAL MANAGEMENT CON,2012,1260297.94,114
Sunoco_2017,BP NORTH AMERICAN PETROLEUM,2016,1252200.67,97
Tesoro_2014,PLAINS MARKETING LP,2013,1250575.26,1371
Anadarko_2014,TECHNIP USA INC,2011,1238193.65,112
Anadarko_2014,COLO DEPT OF REVENUE,2013,1236924.53,51
Anadarko_2014,COMPTROLLER OF PUBLIC ACCOUNTS,2012,1229196.16,148
Anadarko_2014,BOLLORE AFRICA LOGISTICS MOCAMBIQUE,2014,1225186.03,468
Anadarko_2014,BRUNEL INTERNATIONAL UK LTD,2012,1224991.27,254
ETP_2016,INSULATION SPECIALISTS OF TULSA INC,2015,1220591.0,72
Anadarko_2014,EXXON MOBIL CORPORATION,2012,1220366.65,54
NobleEnergy_2018,EMAS CHIYODA SUBSEA INC,2015,1219080.88,218
Anadarko_2018,MENTOR INTERNATIONAL MANAGEMENT CON,2017,1212639.94,152
Anadarko_2014,SELECT VEDIOR MO¦AMBIQUE,2014,1210499.45,150
Anadarko_2014,BOLLORE AFRICA LOGISTICS MOCAMBIQUE,2011,1207687.39,295
ChevronPhillips_2012,CONOCOPHILLIPS COMPANY,2010,1204900.28,435
Anadarko_2014,CCL CONTRACTS CONSULTANCY INC,2011,1201698.21,61
Anadarko_2014,MENTOR INTERNATIONAL MANAGEMENT CON,2014,1194910.93,227
Anadarko_2014,BRUNEL INTERNATIONAL UK LTD,2013,1185136.73,356
NobleEnergy_2018,BP AMERICA PRODUCTION CO,2017,1184846.81,51
ChevronPhillips_2012,KOCH SUPPLY & TRADING LP,2010,1180310.39,88
Anadarko_2014,WEATHERFORD SERVICES & RENTALS LTD,2012,1177155.28,52
Anadarko_2014,NES GLOBAL LIMITED,2013,1176462.92,51
Anadarko_2014,CHESAPEAKE APPALACHIA LLC,2011,1172655.22,239
MarathonOil_2013,FMTC,2012,1171670.49,52
Anadarko_2018,FIDELITY INVESTMENTS,2017,1170633.27,126
Anadarko_2014,CONTRACTS CONSULTANCY LIMITED,2012,1167465.68,351
NobleEnergy_2018,SBM GULF PRODUCTION LLC,2016,1166675.35,53
Williams_2017,MCGRIFF SEIBELS & WILLIAMS INC,2016,1162287.04,66
Anadarko_2014,INTECSEA INC,2012,1159703.35,112
Anadarko_2018,COMPTROLLER OF PUBLIC ACCOUNTS,2017,1157713.33,122
ETP_2016,STUPP CORPORATION BATON ROUGE,2015,1155451.55,210
Anadarko_2014,BRUNEL INTERNATIONAL UK LTD,2014,1151462.91,316
Williams_2017,BORUSAN MANNESMANN BORU SANAYI VE TICARET AS,2016,1146653.79,104
ChevronPhillips_2012,CHEVRON PHILLIPS HEALTH & WELFARE V,2011,1144941.21,52
Anadarko_2014,UNIVERSAL PRESSURE PUMPING INC,2013,1142933.4,116
Anadarko_2014,FDR SAFETY LLC,2014,1140466.37,51
Anadarko_2018,DEPARTMENT OF THE TREASURY,2017,1136891.79,141
Anadarko_2014,PETROMOC,2013,1136514.48,115
Anadarko_2014,FIRCROFT ENGINEERING SERVICES LTD,2012,1134275.58,94
Sunoco_2017,ENERGY TRANSFER PARTNERS,2016,1134238.79,170
Tesoro_2014,NORTHWEST TERMINALING CO,2013,1130620.45,76
Anadarko_2018,ROWAN RESOLUTE LIMITED,2017,1130587.84,174
Anadarko_2014,CONTRACTS CONSULTANCY LIMITED,2011,1127934.69,288
Anadarko_2014,KELTEC PETROLEUM SERVICES,2011,1127343.76,64
Anadarko_2014,BOLLINGER SHIPYARDS INC,2011,1122821.44,127
ChevronPhillips_2012,KOCH SUPPLY & TRADING LP,2011,1118771.65,112
ETP_2016,BNP PARIBAS PRIME BROKERAGE INC,2015,1104139.75,130
Anadarko_2014,WEATHERFORD SERVICES & RENTALS LTD,2011,1104017.73,52
ETP_2017,ETC FIELD SERVICES LLC,2016,1097734.7,100
Tesoro_2014,CONOCOPHILLIPS COMPANY,2012,1092545.99,179
Anadarko_2014,FIDELITY INVESTMENTS,2013,1086702.67,131
NobleEnergy_2018,NOBLE ENERGY SERVICES INC,2016,1086013.7,213
NobleEnergy_2018,ATWOOD OCEANICS GLOBAL LTD,2017,1085394.15,96
Anadarko_2014,CCL CONTRACTS CONSULTANCY INC,2012,1078727.34,72
Anadarko_2014,SELECT VEDIOR MO¦AMBIQUE,2013,1073322.93,190
ETP_2017,ETC TEXAS PIPELINE LTD,2016,1073088.07,120
Anadarko_2014,CHESAPEAKE APPALACHIA LLC,2012,1071297.9,56
NobleEnergy_2018,CNX GAS CORPORATION,2016,1066119.47,81
Anadarko_2014,ORION ENGINEERING SERVICES LTD,2014,1060009.99,847
Anadarko_2018,INTERNATIONAL SOS MOZAMBIQUE LIMITA,2017,1058214.43,62
ChevronPhillips_2012,ADP INC,2008,1056633.02,85
ChevronPhillips_2012,ADP INC,2011,1056616.47,121
ETP_2016,BERG STEEL PIPE,2015,1041100.11,384
ChevronPhillips_2012,EXXONMOBIL CHEMICAL COMPANY,2008,1033748.4,201
Chemours_2016,CITIBANK NA,2016,1033490.31,334
Anadarko_2014,MENTOR INTERNATIONAL MANAGEMENT CON,2013,1030082.97,274
Anadarko_2014,FIDELITY INVESTMENTS,2012,1020042.84,116
ETP_2017,BANK OF TOKYO-MITSUBISHI UFJ,2016,1018280.81,129
Tesoro_2014,PEMBINA MIDSTREAM LIMITED PARTNERSH,2013,1017928.53,93
ChevronPhillips_2012,ADP INC,2010,1015526.09,130
Anadarko_2018,WILLIAMS PARTNERS LP,2017,1010328.15,178
Anadarko_2014,GLOBAL PDM LTD,2012,1008060.09,64
Anadarko_2014,CUDD PUMPING SERVICES INC,2013,1003041.07,142
ChevronPhillips_2012,ADP INC,2009,1001728.93,121
Anadarko_2014,ORION PROJECT SERVICES (HOUSTON) LL,2011,999948.83,328
Anadarko_2018,AGR CONSULTANCY SOLUTIONS LIMITED,2017,994874.13,71
Anadarko_2014,MARKWARDT PERFORMANCE,2013,992727.16,88
Tesoro_2014,CITY OF LONG BEACH,2013,992441.21,115
Anadarko_2014,CONTRACTS CONSULTANCY LIMITED,2014,989848.85,152
Anadarko_2014,CALFRAC WELL SERVICES CORP,2014,989412.53,111
Anadarko_2014,SMITH INTERNATIONAL NORTH SEA LTD,2011,986782.66,71
ETP_2017,BP PRODUCTS NORTH AMERICA INC,2016,984221.0,101
Anadarko_2014,ENTERPRISE PRODUCTS OPERATING LLC,2014,978461.18,65
Anadarko_2018,"THE BANK OF NOVA SCOTIA, U.S. AGENC",2017,977592.01,119
Tesoro_2014,TESORO LOGISTICS GP LLC (1600),2012,976454.29,207
Anadarko_2014,ORION ENGINEERING SERVICES LTD,2012,963909.59,803
Anadarko_2014,PACIFIC PLACE JAKARTA PT,2011,962190.8,56
Anadarko_2014,CUDD PUMPING SERVICES INC,2014,961452.41,71
Anadarko_2014,KELTEC PETROLEUM SERVICES,2012,954765.97,95
ETP_2016,ETC FIELD SERVICES LLC,2015,945697.53,71
ETP_2016,BERG SPIRAL PIPE CORPORATION,2015,939945.9,190
Tesoro_2014,EXXONMOBIL CORPORATION,2012,937606.71,78
Anadarko_2014,WYOMING DEPT OF REVENUE & TAXATION,2014,937573.13,72
Anadarko_2014,SAULSBURY INDUSTRIES,2013,930878.89,54
